Rank,Position Rank,ADP,Player Name,Position,Team,Bye,% Drafted,Yahoo Player ID,Yahoo Data As Of,Recommended Tier As Of,Recommended Tier,Manual - Tier,Yahoo Status,Yahoo Injury Note
132,55,128.3,Rashid Shaheed,WR,SEA,11,15%,34659,9/6/26,8/30/26,10,10,,
133,19,125.2,Malik Willis,QB,MIA,6,35%,34042,9/6/26,8/30/26,5,6,,
134,14,122.8,Juwan Johnson,TE,NO,8,58%,33113,9/6/26,8/30/26,6,6,,
135,15,113.4,Mark Andrews,TE,BAL,13,97%,31056,9/6/26,8/30/26,5,5,,
136,47,129.9,Tyler Allgeier,RB,ARI,14,20%,34107,9/6/26,8/30/26,11,11,,
137,20,125.7,Baker Mayfield,QB,TB,10,40%,30971,9/6/26,8/30/26,4,6,,
138,48,129.3,Tank Bigsby,RB,PHI,10,7%,40095,9/6/26,8/30/26,11,11,,
139,56,130.7,Khalil Shakir,WR,BUF,7,11%,34104,9/6/26,8/30/26,10,10,Q,Undisclosed
140,49,132.3,Tyjae Spears,RB,TEN,9,5%,40119,9/6/26,8/30/26,11,11,,
141,50,129.0,Jonah Coleman,RB,DEN,10,7%,42730,9/6/26,8/30/26,11,11,,
142,57,128.5,Tre Tucker,WR,LV,13,2%,40114,9/6/26,8/30/26,11,11,,
143,21,130.1,Tyler Shough,QB,NO,8,22%,41825,9/6/26,8/30/26,5,6,,
144,58,131.2,Denzel Boston,WR,CLE,11,4%,42661,9/6/26,8/30/26,11,11,,
145,59,,Adonai Mitchell,WR,NYJ,13,-,40915,9/6/26,8/30/26,12,12,,
146,16,117.5,Jake Ferguson,TE,DAL,14,91%,34085,9/6/26,8/30/26,5,5,,
147,60,125.5,Keenan Allen,WR,IND,13,5%,26699,9/6/26,8/30/26,13,13,,
148,51,130.9,Zach Charbonnet,RB,SEA,11,27%,40075,9/6/26,8/30/26,13,13,PUP-R,Knee - ACL
149,17,126.2,Dalton Schultz,TE,HOU,8,30%,31107,9/6/26,8/30/26,6,6,,
150,1,94.2,Texans,DEF,HOU,8,100%,100034,9/6/26,8/30/26,1,2,,
151,18,126.9,Terrance Ferguson,TE,LAR,11,10%,41831,9/6/26,8/30/26,6,6,Q,General Soreness
152,61,,Dontayvion Wicks,WR,PHI,10,-,40201,9/6/26,8/30/26,13,13,,
153,1,87.5,Brandon Aubrey,K,DAL,14,100%,40819,9/6/26,8/30/26,1,1,,
154,62,127.3,Deebo Samuel Sr.,WR,SF,8,21%,31868,9/6/26,8/30/26,10,10,,
155,2,86.9,Rams,DEF,LAR,11,100%,100014,9/6/26,8/30/26,1,1,,
156,22,122.3,Sam Darnold,QB,SEA,11,18%,30973,9/6/26,8/30/26,5,6,,
157,52,126.5,Emmett Johnson,RB,KC,5,2%,42796,9/6/26,8/30/26,13,13,,
158,19,126.6,Chig Okonkwo,TE,WAS,7,40%,34099,9/6/26,8/30/26,6,6,,
159,53,123.8,Ray Davis,RB,BUF,7,2%,40980,9/6/26,8/30/26,12,12,,
160,63,,Jalen McMillan,WR,TB,10,-,40954,9/6/26,8/30/26,10,10,Q,Knee
161,64,126.9,Ja'Kobi Lane,WR,BAL,13,3%,42702,9/6/26,8/30/26,15,15,,
162,54,118.3,Brian Robinson,RB,ATL,11,6%,34054,9/6/26,8/30/26,11,11,,
163,3,102.6,Broncos,DEF,DEN,10,100%,100007,9/6/26,8/30/26,1,3,,
164,55,127.2,Braelon Allen,RB,NYJ,13,2%,40981,9/6/26,8/30/26,14,14,,
165,4,109.2,Seahawks,DEF,SEA,11,100%,100026,9/6/26,8/30/26,1,3,,
166,20,127.5,Hunter Henry,TE,NE,11,51%,29269,9/6/26,8/30/26,6,6,,
167,23,127.3,Daniel Jones,QB,IND,13,6%,31838,9/6/26,8/30/26,5,6,,
168,2,118.8,Ka'imi Fairbairn,K,HOU,8,100%,29792,9/6/26,8/30/26,1,1,,
169,56,130.0,Kaelon Black,RB,SF,8,3%,42712,9/6/26,8/30/26,13,13,,
170,5,123.9,Eagles,DEF,PHI,10,100%,100021,9/6/26,8/30/26,3,5,,
171,65,,Pat Bryant,WR,DEN,10,-,41860,9/6/26,8/30/26,12,12,,
